,Q22,tweet,value
36,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,3.0
37,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,1.0
38,Male,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
39,Male,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,3.0
40,Male,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
41,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
42,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,1.0
43,Male,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,4.0
44,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
45,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,3.0
46,Male,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
47,Male,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,4.0
48,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,5.0
49,Male,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,2.0
50,Male,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,1.0
51,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,4.0
52,Female,hobi baby is going to wake up to three posts which he didn't get to like way before all of us  .,4.0
53,Male, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,1.0
54,Male, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,3.0
55,Male, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
56,Male, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,2.0
57,Female, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,3.0
58,Male, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,2.0
59,Female, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
60,Male, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
61,Male, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,2.0
62,Female, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
63,Female, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,4.0
64,Female, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,5.0
65,Male, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,1.0
66,Female, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,3.0
67,Male, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,2.0
68,Female, Dont fight me I have a heart problemIm only mentioning that coz of a friend whos baby mama did that and fell into a trap.,3.0
69,Male, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,5.0
70,Male, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
71,Male, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
72,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
73,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
74,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,2.0
75,Male, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
76,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,5.0
77,Male, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
78,Male, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
79,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
80,Male, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
81,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
82,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,1.0
83,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
84,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,3.0
85,Female, LMFHAODOSO NOOOOOO i explained it to him and he was so skeptical he was like  but his name is BABY YODA.,4.0
86,Male, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
87,Male, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
88,Male, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
89,Female, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
90,Male, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,1.0
91,Male, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
92,Female, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
93,Male, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
94,Male, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
95,Female, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,3.0
96,Female, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
97,Female, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,4.0
98,Male, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,1.0
99,Female, im spittin fr we really got som new lil baby pop smoke trippie juice polo 21 tory carti etc..,5.0
100,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
101,Female,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
102,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
103,Female,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
104,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,3.0
105,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
106,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
107,Female,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
108,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
109,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
110,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,3.0
111,Female,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
112,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
113,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
114,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,5.0
115,Female,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
116,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
117,Female,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,3.0
118,Female,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
119,Female,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
120,Male,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
121,Female,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",5.0
122,Male,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",2.0
123,Female,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",4.0
124,Female,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",3.0
125,Female,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",3.0
126,Female,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",5.0
127,Male,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",3.0
128,Male,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",4.0
129,Female,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",2.0
130,Female,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",1.0
131,Male,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",4.0
132,Female,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",1.0
133,Male,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
134,Female,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
135,Male,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,1.0
136,Female,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,2.0
137,Male,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
138,Female,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,2.0
139,Male,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,4.0
140,Male,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
141,Female,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
142,Female,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,4.0
143,Female,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,2.0
144,Male,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,1.0
145,Male,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
146,Female,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
147,Female,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,5.0
148,Female,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
149,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,4.0
150,Female,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,1.0
151,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
152,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
153,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
154,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
155,Female,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,4.0
156,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,5.0
157,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
158,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
159,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,5.0
160,Female,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
161,Female,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,2.0
162,Male,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
163,Male," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",3.0
164,Male," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",4.0
165,Male," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",3.0
166,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",3.0
167,Male," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",4.0
168,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",3.0
169,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",3.0
170,Male," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",2.0
171,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",3.0
172,Male," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",5.0
173,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",4.0
174,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",3.0
175,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",4.0
176,Male," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",2.0
177,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",4.0
178,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",3.0
179,Male," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",3.0
180,Female," WestJet, AirCanada it's hard to choose they take turns at shitty customers service. RN westjet is in top position..",5.0
181,Female," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",4.0
182,Female," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",2.0
183,Female," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",3.0
184,Male," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",3.0
185,Female," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",2.0
186,Male," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",2.0
187,Female," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",2.0
188,Female," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",5.0
189,Male," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",2.0
190,Female," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",5.0
191,Male," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",2.0
192,Female," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",1.0
193,Male," Thats hard to answer. I think the trading up part is where Id draw the line. I didnt like the pick, personally. But knowing what we do now, would you draft Josh Allen first overall instead of Mayfield knowing hed be pretty bad until year 3 If TL develops, its a great pick..",3.0
194,Male,"Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve Rest. .",4.0
195,Female,"Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve Rest. .",2.0
196,Male,"Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve Rest. .",3.0
197,Female,"Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve Rest. .",1.0
198,Female,"Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve Rest. .",2.0
199,Male,"Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve Rest. .",4.0
200,Female,"Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve Rest. .",4.0
201,Male,"Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve Rest. .",3.0
202,Male,"Pretty sure the message was not to stress yourself out with the pressure of upholding these traditions. We go through enough. Besides, if you clean year round then why you need to be hard down cleaning on New Year's eve Rest. .",5.0
